doc_id,corpus,author,segment_id,marker,marker_group,marker_category,count,word_count,prevalence
Separatists in Russia and Separatists in Austria_5.8.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,610,0
Speech At The First All-Russia Congress Of The Navy_11.22.1917,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2033,0
The “Vexed Questions” of Our Party_11.1912,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2638,0
The Balkan War and Bourgeois Chauvinism_3.29.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,439,0
The Black Hundreds and the Organisation of an Uprising_8.29.1905,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1833,0
The British Liberals and Ireland_3.12.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1056,0
The Cadets and “The Right of Nations to Self-Determination”_12.11.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,724,0
The Campaign Against Finland_4.26.1910,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1466,0
The Discussion On Self-Determination Summed Up_7.16,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,1,14226,0.07029382820188387
The Latest Word in Bundist Nationalism_8.15.1903,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1380,0
The National Equality Bill_3.28.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,529,0
The National Programme of the R.S.D.L.P._12.15.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2372,0
The National Question in Our Programme_7.15.1903,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,3403,0
The Nationalisation of Jewish Schools_8.18.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,487,0
The Nationality of Pupils in Russian Schools_12.14.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,974,0
The Position of the Bund in the Party_10.22.1903,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,4040,0
The Protest of the Finnish People_11.20.1901,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1922,0
The Question of Nationalities or _Autonomisation__12.31.1922,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,1,2075,0.4819277108433735
The Revolutionary Proletariat and the Right of Nations to Self-Determination_10.16.1915,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2413,0
The Seventh (April) All-Russia Conference of the R.S.D.L.P.(B.)_4.29.1917,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1736,0
The Social Significance of the Serbo-Bulgarian Victories_11.7.1912,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,634,0
The Socialist Revolution and the Right of Nations to Self-Determination_2.16,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,4502,0
The Tsar Against the Finnish People_10.31.1909,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1084,0
The Ukraine_6.28.1917,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,536,0
The War and Russian Social-Democracy_9.28.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2691,0
The Working Class and the National Question_5.10.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,534,0
Theses on the National Question_6.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,2769,0
To the Communists of Turkestan_11.22.1919,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,212,0
To the Indian Revolutionary Association_5.13.1920,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,158,0
To the Jewish Workers_5.1905,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,1125,0
To_   S. G. SHAHUMYAN_7.6.1914,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,340,0
Under a False Flag_2.1915,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,7072,0
Vekhi Contributors and Nationalism_4.1913,longitudinal,lenin,1,harm,dyadic_harm,harm_justification,0,448,0
LPM_1900,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,157,0
LPM_1906,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,245,0
LPM_1910.12,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,264,0
LPM_1910,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,567,0
LPM_1918,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,1147,0
LPM_1923,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,1163,0
LPM_1924,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,2261,0
LPM_1929,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,2538,0
LPM_1931,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,2120,0
LPM_1935,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,1059,0
LPM_1945,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,5046,0
LPM_1950,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,4938,0
LPM_1951,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,1818,0
LPM_1955,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,2913,0
LPM_1959,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,5170,0
LPM_1964,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,9849,0
LPM_1966,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,10734,0
LPM_1970,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,11864,0
LPM_1974.10,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,8759,0
LPM_1974,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,4809,0
LPM_1979,longitudinal,lpm,1,harm,dyadic_harm,harm_justification,0,9400,0
